time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-05T20:41:27.130Z,-8.2631,116.2181,10,4.6,mb,,54,2.054,1.04,us,us1000g3xb,2018-08-25T21:01:13.474Z,"4km WSW of Lokokrangan, Indonesia",earthquake,7.9,1.9,0.12,21,reviewed,us,us
2018-08-05T20:37:10.870Z,-8.385,116.2123,10,4.5,mb,,185,13.147,0.79,us,us1000g5u7,2018-08-25T20:56:52.040Z,"3km ESE of Todo, Indonesia",earthquake,10,2,0.157,12,reviewed,us,us
2018-08-05T19:44:55.270Z,-8.4257,116.207,10,4.4,mb,,91,2.033,1.01,us,us1000g4ii,2018-08-25T20:44:58.772Z,"6km SSE of Todo, Indonesia",earthquake,7.8,2,0.189,8,reviewed,us,us
2018-08-05T18:47:18.520Z,-8.5038,116.2452,10,4.2,mb,,156,2.07,1.14,us,us1000g5ts,2018-08-25T20:33:38.040Z,"4km N of Sesaot Lauq, Indonesia",earthquake,9.1,2,0.167,10,reviewed,us,us
2018-08-05T18:41:11.510Z,-8.23,115.9935,10,4.3,mb,,81,1.837,0.65,us,us1000g5u6,2018-08-25T20:28:35.040Z,"22km NW of Prawira, Indonesia",earthquake,11.3,1.9,0.16,11,reviewed,us,us
2018-08-05T17:42:34.960Z,-8.4061,116.0341,10,4.3,mb,,97,1.863,0.54,us,us1000g5tp,2018-08-25T20:22:42.040Z,"7km W of Pemenang, Indonesia",earthquake,8.3,1.9,0.153,12,reviewed,us,us
2018-08-05T16:49:45.160Z,-8.2802,116.2629,35,5,mb,,68,2.097,1,us,us1000g3vu,2018-08-13T16:04:45.746Z,"2km S of Lokokrangan, Indonesia",earthquake,2.4,1.9,0.07,65,reviewed,us,us
2018-08-05T16:29:58.570Z,-8.2935,116.1603,24.47,4.2,mb,,101,1.994,0.82,us,us1000g5tm,2018-08-13T16:02:34.040Z,"6km N of Tanahsong Daya, Indonesia",earthquake,9.9,3.6,0.176,9,reviewed,us,us
2018-08-05T15:26:52.880Z,-8.2571,116.4723,21.04,4.3,mb,,76,2.305,0.78,us,us1000g3vm,2018-08-13T15:55:41.040Z,"3km E of Loloan, Indonesia",earthquake,6.2,6.7,0.142,14,reviewed,us,us
2018-08-05T15:21:45.580Z,-8.3969,116.6246,35,4.1,mb,,101,2.447,1.48,us,us1000g5tl,2018-08-13T15:52:48.040Z,"7km WSW of Sambelia, Indonesia",earthquake,12.4,2,0.26,4,reviewed,us,us
2018-08-05T15:11:30.460Z,-8.4364,116.0578,32.41,4.4,mb,,82,1.885,0.79,us,us1000g5tv,2018-08-13T15:45:38.040Z,"5km SW of Karangsubagan, Indonesia",earthquake,6.9,10.3,0.189,8,reviewed,us,us
2018-08-05T14:53:03.130Z,-8.154,116.2062,35,4.6,mb,,65,2.057,0.73,us,us1000g5th,2018-08-13T14:54:56.040Z,"12km NNW of Lokokrangan, Indonesia",earthquake,5.7,1.9,0.114,23,reviewed,us,us
2018-08-05T14:51:43.620Z,-8.0089,116.5909,35,4.1,mb,,89,2.457,1.4,us,us1000g5ti,2018-08-13T14:35:56.040Z,"28km N of Obelobel, Indonesia",earthquake,9.6,2,0.197,7,reviewed,us,us
2018-08-05T14:45:37.550Z,-8.3456,116.0894,21.12,4.5,mb,,79,1.92,0.76,us,us1000g5tf,2018-08-13T14:24:00.040Z,"6km WNW of Prawira, Indonesia",earthquake,7.8,6.4,0.145,14,reviewed,us,us
2018-08-05T14:42:19.050Z,-8.232,116.4933,35,4.3,mb,,76,2.328,1.01,us,us1000g3vg,2018-08-13T14:16:52.040Z,"6km ENE of Loloan, Indonesia",earthquake,7.7,2,0.143,14,reviewed,us,us
2018-08-05T14:24:41.760Z,-8.3209,116.2047,35,4.6,mb,,78,2.036,1.2,us,us1000g5tu,2018-08-13T14:04:12.040Z,"5km NE of Tanahsong Daya, Indonesia",earthquake,7.9,2,0.141,15,reviewed,us,us
2018-08-05T14:10:40.940Z,-8.1447,116.4679,35,4.1,mb,,69,2.314,1,us,us1000g5td,2018-08-13T13:18:07.040Z,"10km NNE of Anyar, Indonesia",earthquake,4.4,2,0.145,13,reviewed,us,us
2018-08-05T13:12:15.970Z,-8.4055,116.1329,35,4.9,mb,,51,1.96,1.18,us,us1000g3v7,2018-08-12T19:47:12.040Z,"3km E of Karangsubagan, Indonesia",earthquake,7.6,1.9,0.116,27,reviewed,us,us
2018-08-05T13:07:37.570Z,-8.234,116.452,35,4.7,mb,,68,2.287,0.99,us,us1000g3v5,2018-08-12T13:55:45.040Z,"2km NNE of Loloan, Indonesia",earthquake,7.7,2,0.1,30,reviewed,us,us
2018-08-05T12:58:06.540Z,-8.3169,116.1411,35,4.8,mb,,73,1.973,0.78,us,us1000g5ub,2018-08-10T10:37:52.040Z,"4km NW of Tanahsong Daya, Indonesia",earthquake,5.2,1.9,0.143,15,reviewed,us,us
2018-08-05T12:49:55.250Z,-8.358,116.1402,31.26,5.5,mb,,28,1.97,1.13,us,us1000g3uy,2018-08-10T10:31:48.164Z,"0km NW of Prawira, Indonesia",earthquake,6.4,3.5,0.053,121,reviewed,us,us
2018-08-05T12:42:34.350Z,-8.3332,116.1751,35,4.8,mb,,70,2.006,1.45,us,us1000g3ux,2018-08-10T10:15:34.686Z,"2km NNE of Tanahsong Daya, Indonesia",earthquake,5.8,2,0.099,32,reviewed,us,us
2018-08-05T12:35:22.130Z,-8.3139,116.0539,35,4.2,mb,,69,1.888,0.83,us,us1000g5t9,2018-08-10T10:13:05.040Z,"11km NNW of Pemenang, Indonesia",earthquake,4.5,1.9,0.136,15,reviewed,us,us
2018-08-05T12:27:14.840Z,-8.1765,116.4702,35,4.3,mb,,67,2.312,1.19,us,us1000g5t4,2018-08-10T10:07:37.040Z,"7km NE of Anyar, Indonesia",earthquake,6,2,0.137,15,reviewed,us,us
2018-08-05T12:25:03.700Z,-8.2523,116.2566,35,4.5,mb,,111,4.732,0.99,us,us1000g5t8,2018-08-10T09:59:58.040Z,"0km NW of Lokokrangan, Indonesia",earthquake,10.4,2,0.116,22,reviewed,us,us
2018-08-05T12:24:10.310Z,-8.4242,116.0636,35,4.1,mb,,73,1.891,0.8,us,us1000g5t5,2018-08-11T01:54:07.040Z,"4km WSW of Karangsubagan, Indonesia",earthquake,5.7,2,0.184,8,reviewed,us,us
2018-08-05T12:21:40.150Z,-8.2236,116.2892,34.56,4.4,mb,,67,2.128,1.37,us,us1000g5t6,2018-08-10T09:30:19.040Z,"4km NE of Lokokrangan, Indonesia",earthquake,5.1,6.9,0.149,13,reviewed,us,us
2018-08-05T12:18:07.600Z,-8.3493,116.1806,35,4.6,mb,,48,2.01,1.28,us,us1000g5t7,2018-08-10T09:27:30.040Z,"1km E of Tanahsong Daya, Indonesia",earthquake,7.7,2,0.103,28,reviewed,us,us
2018-08-05T12:08:43.600Z,-8.3522,116.032,35,4.3,mb,,60,1.863,1.14,us,us1000g5tj,2018-08-10T09:17:55.040Z,"9km NW of Karangsubagan, Indonesia",earthquake,6.6,2,0.137,15,reviewed,us,us
2018-08-05T12:03:26.520Z,-8.3589,116.0182,35,5.1,mb,,48,1.849,0.94,us,us1000g5tk,2018-08-10T09:14:16.040Z,"10km WNW of Karangsubagan, Indonesia",earthquake,7.9,2,0.106,29,reviewed,us,us
2018-08-05T11:46:38.190Z,-8.2597,116.4363,31,6.9,mww,,15,2.269,1.02,us,us1000g3ub,2018-08-29T05:29:50.499Z,"0km SW of Loloan, Indonesia",earthquake,6.2,1.7,0.031,100,reviewed,us,us
2018-08-04T05:44:53.920Z,-8.389,116.611,10,4.4,mb,,72,2.434,0.86,us,us1000g3ab,2018-08-18T09:48:50.732Z,"7km E of Sembalunbumbung, Indonesia",earthquake,8.1,1.9,0.179,9,reviewed,us,us
2018-08-02T19:17:43.160Z,-8.4581,116.6705,35,4.1,mb,,102,2.491,1.16,us,us1000g4v2,2018-08-08T17:17:04.040Z,"4km N of Kampungbaru, Indonesia",earthquake,6.7,2,0.184,8,reviewed,us,us
2018-08-02T19:07:23.570Z,-8.2127,116.6286,34.52,4.9,mb,,49,2.464,0.84,us,us1000g24v,2018-08-08T17:21:45.173Z,"10km NE of Obelobel, Indonesia",earthquake,7.8,2.3,0.077,52,reviewed,us,us
2018-07-29T10:05:01.990Z,-8.2378,116.4203,18.17,4.2,mb,,76,2.256,0.85,us,us1000g1zy,2018-08-04T05:56:45.040Z,"0km SSW of Anyar, Indonesia",earthquake,8,3.4,0.147,13,reviewed,us,us
2018-07-29T04:22:50.950Z,-8.3037,116.4664,10,4.2,mb,,77,2.295,1.02,us,us1000g1zt,2018-08-24T00:38:35.040Z,"3km WNW of Lelongken, Indonesia",earthquake,7.9,1.9,0.141,14,reviewed,us,us
