time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2000-02-01T12:39:41.380Z,-8.906,116.27,80.3,4.9,mb,,,,1.11,us,usp0009mxd,2014-11-07T01:09:25.024Z,"Lombok region, Indonesia",earthquake,,,,14,reviewed,us,us
2000-01-06T04:31:58.350Z,-8.293,116.071,33,5.4,mwc,,,,1.26,us,usp0009ktf,2016-11-09T21:36:26.669Z,"Lombok region, Indonesia",earthquake,,,,,reviewed,us,hrv
1999-08-28T20:29:58.880Z,-7.722,116.382,298.2,4.7,mb,,,,1.09,us,usp0009dry,2014-11-07T01:08:21.051Z,"Bali Sea",earthquake,,6,,19,reviewed,us,us
1997-07-23T16:18:30.480Z,-8.324,116.786,33,4.7,mb,,,,1.09,us,usp0008588,2014-11-07T01:03:10.268Z,"Lombok region, Indonesia",earthquake,,,,12,reviewed,us,us
1996-06-25T05:19:09.320Z,-8.365,116.558,33,4.6,mb,,,,1.2,us,usp0007k7z,2014-11-07T01:00:40.287Z,"Lombok region, Indonesia",earthquake,,,,16,reviewed,us,us
1995-03-20T08:14:51.970Z,-8.012,116.494,231.8,5.8,mw,,,,1.1,us,usp0006uf5,2016-11-09T22:07:22.754Z,"Lombok region, Indonesia",earthquake,,,,,reviewed,us,hrv
1994-10-14T02:38:40.720Z,-9.392,115.871,105.9,4.6,mb,,,,1.2,us,usp0006m36,2014-11-07T00:56:31.029Z,"south of Bali, Indonesia",earthquake,,9.4,,5,reviewed,us,us
1994-10-07T23:26:38.270Z,-8.297,116.763,33,5,mb,,,,1.3,us,usp0006krx,2014-11-07T00:56:29.072Z,"Lombok region, Indonesia",earthquake,,,,14,reviewed,us,us
1993-06-27T15:32:59.020Z,-9.177,115.873,88.4,5.1,mw,,,,1.1,us,usp0005v99,2016-11-09T22:51:33.720Z,"south of Bali, Indonesia",earthquake,,7.2,,,reviewed,us,hrv
1992-12-16T05:07:58.480Z,-7.866,116.463,35.8,5,mb,,,,1.3,us,usp0005jbn,2014-11-07T00:52:02.883Z,"Bali Sea",earthquake,,11.6,,7,reviewed,us,us
1992-02-20T22:48:43.030Z,-8.135,116.229,199.7,5.2,mb,,,,1,us,usp00053an,2014-11-07T00:50:07.287Z,"Lombok region, Indonesia",earthquake,,8.5,,6,reviewed,us,us
1991-11-17T04:34:50.420Z,-8.868,116.706,161.2,4.9,mb,,,,1.2,us,usp0004z8c,2014-11-07T00:49:35.024Z,"Lombok region, Indonesia",earthquake,,11,,22,reviewed,us,us
1991-10-04T22:11:39.200Z,-8.909,115.83,101.5,4.7,mb,,,,1.2,us,usp0004xd8,2014-11-07T00:49:21.670Z,"Bali region, Indonesia",earthquake,,15,,14,reviewed,us,us
1991-09-24T04:38:41.560Z,-8.032,116.554,182.4,4.5,mb,,,,1.2,us,usp0004wzc,2014-11-07T00:49:17.043Z,"Lombok region, Indonesia",earthquake,,13.6,,6,reviewed,us,us
