time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-04-24T21:29:00.490Z,-6.0171,105.3705,50.16,5,mb,,37,2.914,0.88,us,us10008kca,2017-07-21T02:32:04.040Z,"39km SW of Kaliandak, Indonesia",earthquake,4.5,5.7,0.061,85,reviewed,us,us
2017-04-23T18:01:13.310Z,-7.7404,108.0192,72.22,5.2,mb,,28,2.486,1.24,us,us10008k20,2017-07-21T02:32:02.040Z,"0km S of Cipatujah, Indonesia",earthquake,7.2,4.8,0.053,119,reviewed,us,us
2017-04-09T23:22:45.670Z,-9.5742,111.7819,40.91,4.9,mb,,59,2.067,0.95,us,us10008g46,2017-07-05T18:09:54.040Z,"145km SSE of Ngulung Wetan, Indonesia",earthquake,7.9,5.9,0.061,86,reviewed,us,us
2017-04-03T19:55:16.800Z,-6.3515,103.6676,36.33,4.5,mb,,194,2.101,0.78,us,us10008e53,2017-06-23T07:26:28.040Z,"119km SSW of Biha, Indonesia",earthquake,10.3,4,0.094,33,reviewed,us,us
2017-03-26T02:00:12.600Z,-7.9061,107.7809,25.87,4.5,mb,,194,2.716,0.61,us,us10008dk3,2017-06-16T23:07:56.040Z,"25km S of Cibaregbeg, Indonesia",earthquake,11.7,6.8,0.18,9,reviewed,us,us
2017-03-23T14:35:36.360Z,-7.9568,108.0128,73.62,4.7,mb,,119,2.487,1.22,us,us20008u18,2017-06-12T19:46:54.040Z,"22km SSW of Sindangkerta, Indonesia",earthquake,8.8,6.1,0.086,41,reviewed,us,us
2017-03-21T23:10:25.150Z,-8.4915,115.3233,111.71,5.6,mww,,17,1.158,1.11,us,us20008tme,2017-11-13T22:59:51.557Z,"1km SE of Banjar Mulung, Indonesia",earthquake,6.9,3,0.066,22,reviewed,us,us
2017-03-21T13:13:39.960Z,-6.0389,104.366,54.71,5.3,mb,,69,2.18,1.45,us,us20008tj0,2017-06-12T19:46:52.040Z,"66km SSW of Kotaagung, Indonesia",earthquake,8.6,4.2,0.057,102,reviewed,us,us
2017-03-18T16:56:40.800Z,-7.9478,107.9551,77.93,4.8,mb,,62,2.544,1.06,us,us20008t0q,2017-06-07T00:33:44.040Z,"23km SSW of Sindangkerta, Indonesia",earthquake,6,5.8,0.07,62,reviewed,us,us
2017-03-18T01:15:35.260Z,-10.7723,115.1546,10,4.5,mb,,117,2.492,1.11,us,us20008sx7,2017-06-07T00:33:43.040Z,"214km S of Kangin, Indonesia",earthquake,8.1,1.9,0.102,28,reviewed,us,us
2017-03-17T22:23:00.630Z,-5.9777,102.9424,10,4.5,mb,,82,1.606,0.93,us,us20008ua9,2017-06-07T00:33:43.040Z,"138km SW of Kuripan, Indonesia",earthquake,6.8,1.8,0.18,9,reviewed,us,us
2017-03-16T18:39:26.270Z,-11.539,114.5737,10,5.5,mww,,46,3.077,1.43,us,us20008siq,2017-11-08T22:48:07.620Z,"South of Bali, Indonesia",earthquake,8.6,1.7,0.068,21,reviewed,us,us
2017-03-15T02:26:54.590Z,-7.8071,108.0002,78.6,4.6,mb,,62,2.501,0.61,us,us20008s80,2017-06-07T00:33:39.040Z,"7km SSW of Cipatujah Selatan, Indonesia",earthquake,4,6.9,0.079,48,reviewed,us,us
